Daerah,Laki-laki,Perempuan,
ACEH,68.26,72.16,
SIMEULUE,63.52,67.36,
Simeulue,63.52,67.36,
ACEH SINGKIL,65.56,69.54,
Aceh Singkil,65.56,69.54,
ACEH SELATAN,62.68,66.51,
Aceh Selatan,62.68,66.51,
ACEH TENGGARA,66.39,70.42,
Aceh Tenggara,66.39,70.42,
ACEH TIMUR,66.92,70.86,
Aceh Timur,66.92,70.86,
ACEH TENGAH,66.95,70.98,
Aceh Tengah,66.95,70.98,
ACEH BARAT,66.13,70.14,
Aceh Barat,66.13,70.14,
ACEH BESAR,67.96,71.9,
Aceh Besar,67.96,71.9,
PIDIE,65.12,69.06,
Pidie,65.12,69.06,
BIREUEN,69.45,73.37,
Bireuen,69.45,73.37,
ACEH UTARA,66.94,70.94,
Aceh Utara,66.94,70.94,
ACEH BARAT DAYA,63.31,67.18,
Aceh Barat Daya,63.31,67.18,
GAYO LUES,63.76,67.65,
Gayo Lues,63.76,67.65,
ACEH TAMIANG,67.78,71.79,
Aceh Tamiang,67.78,71.79,
NAGAN RAYA,67.43,71.39,
Nagan Raya,67.43,71.39,
ACEH JAYA,65.37,69.31,
Aceh Jaya,65.37,69.31,
BENER MERIAH,67.49,71.39,
Bener Meriah,67.49,71.39,
PIDIE JAYA,68.43,72.31,
Pidie Jaya,68.43,72.31,
KOTA BANDA ACEH,69.81,73.65,
Kota Banda Aceh,69.81,73.65,
KOTA SABANG,68.75,72.71,
Kota Sabang,68.75,72.71,
KOTA LANGSA,67.59,71.56,
Kota Langsa,67.59,71.56,
KOTA LHOKSEUMAWE,69.93,73.76,
Kota Lhokseumawe,69.93,73.76,
KOTA SUBULUSSALAM,62.35,66.16,
Kota Subulussalam,62.35,66.16,
SUMATERA UTARA,67.66,71.6,
NIAS,68.01,72,
Nias,68.01,72,
MANDAILING NATAL,61.07,64.88,
Mandailing Natal,61.07,64.88,
TAPANULI SELATAN,63.3,67.13,
Tapanuli Selatan,63.3,67.13,
TAPANULI TENGAH,65.44,69.52,
Tapanuli Tengah,65.44,69.52,
TAPANULI UTARA,67.01,71.11,
Tapanuli Utara,67.01,71.11,
TOBA SAMOSIR,68.54,72.69,
Toba Samosir / Toba,68.54,72.69,
LABUHAN BATU,68.32,72.35,
Labuhan Batu,68.32,72.35,
ASAHAN,66.63,70.72,
Asahan,66.63,70.72,
SIMALUNGUN,69.66,73.69,
Simalungun,69.66,73.69,
DAIRI,67.58,71.53,
Dairi,67.58,71.53,
KARO,69.85,73.91,
Karo,69.85,73.91,
DELI SERDANG,70.17,73.96,
Deli Serdang,70.17,73.96,
LANGKAT,67.34,71.33,
Langkat,67.34,71.33,
NIAS SELATAN,67.15,71.11,
Nias Selatan,67.15,71.11,
HUMBANG HASUNDUTAN,67.83,71.94,
Humbang Hasundutan,67.83,71.94,
PAKPAK BHARAT,64.27,68.34,
Pakpak Bharat,64.27,68.34,
SAMOSIR,69.67,73.72,
Samosir,69.67,73.72,
SERDANG BEDAGAI,67.23,71.15,
Serdang Bedagai,67.23,71.15,
BATU BARA,65.44,69.45,
Batu Bara,65.44,69.45,
PADANG LAWAS UTARA,65.45,69.52,
Padang Lawas Utara,65.45,69.52,
PADANG LAWAS,65.43,69.35,
Padang Lawas,65.43,69.35,
LABUHAN BATU SELATAN,66.97,71.06,
Labuhan Batu Selatan,66.97,71.06,
LABUHAN BATU UTARA,67.89,71.85,
Labuhan Batu Utara,67.89,71.85,
NIAS UTARA,67.78,71.81,
Nias Utara,67.78,71.81,
NIAS BARAT,67.34,71.35,
Nias Barat,67.34,71.35,
KOTA SIBOLGA,67.73,71.71,
Kota Sibolga,67.73,71.71,
KOTA TANJUNG BALAI,61.99,65.71,
Kota Tanjung Balai,61.99,65.71,
KOTA PEMATANG SIANTAR,72.33,76.06,
Kota Pematang Siantar,72.33,76.06,
KOTA TEBING TINGGI,69.32,73.2,
Kota Tebing Tinggi,69.32,73.2,
KOTA MEDAN,71.71,75.43,
Kota Medan,71.71,75.43,
KOTA BINJAI,70.84,74.67,
Kota Binjai,70.84,74.67,
KOTA PADANGSIDIMPUAN,67.66,71.79,
Kota Padangsidimpuan,67.66,71.79,
KOTA GUNUNGSITOLI,69.64,73.59,
Kota Gunungsitoli,69.64,73.59,
SUMATERA BARAT,67.99,71.89,
KEPULAUAN MENTAWAI,62.9,66.82,
Kepulauan Mentawai,62.9,66.82,
PESISIR SELATAN,69.19,73.14,
Pesisir Selatan,69.19,73.14,
SOLOK,67.15,71.11,
Solok,67.15,71.11,
SIJUNJUNG,64.7,68.59,
Sijunjung,64.7,68.59,
